,title,company_name,location,stipend,intern_type
7605,Search Engine Optimization (SEO),                            Sportskeeda                        ,Work From Home," 5,000-8,000 /month",Internship
7606,Social Media Marketing,                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
7607,Graphic Design,                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
7608,Influencer Marketing,                            LBB (Little Black Book)                        ,Delhi," 3,500-5,000 /month",Internship
7609,Business Development (Sales),                            Tommy Hilfiger                        ,Chennai," 22,000 /month",Internship with job offer
7610,Non Apparel Category,                            Nykaa Fashion                        ,Mumbai," 5,000 /month",Internship
7611,Customer Relations Management,                            Decathlon                        ,Lucknow," 12,000 /month",Internship
7612,Sports Retail/Logistics,                            Decathlon Sports India                        ,Thane," 12,000 /month",Internship
7613,CA - Industrial Trainee,                            Canara HSBC Life Insurance                        ,Gurgaon," 15,000 /month",Internship
7614,Media & Public Relations (PR),                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
7615,Business Development (Sales),                            Decathlon Sports India Private Limited                        ,Mumbai," 25,000 /month",Internship
7616,Business Development (Sales),                            Decathlon                        ,Mumbai," 25,000 /month",Internship
7617,Graphic Design,                            Times Internet                        ,Work From Home," 9,000-10,000 /month",Internship
7618,Project Planning (TribeVibe),                            BookMyShow                        ,Mumbai," 7,500 /month",Internship
7619,Market Research,                            Hindustan Unilever Limited                        ,Mumbai," 20,000 /month",Internship
7620,Marketing,                            Hector Beverages Private Limited                        ,Bangalore," 5,000 /month",Internship
7621,Marketing,                            Dabur India Limited                        ,Mumbai," 2,000-3,000 /week",Internship
7622,Human Resources (HR),                            Paisabazaar                        ,Gurgaon," 20,000-25,000 /month",Internship
7623,Marketing,                            Decathlon                        ,Chennai," 10,000 /month",Internship
7624,Digital Marketing,                            NoBroker Technologies Solutions Private Limited                        ,Bangalore," 10,000 /month",Internship
7625,Content Writing,                            Acko General Insurance                        ,Bangalore," 10,000 /month",Internship
7626,Digital Marketing,                            UpGrad (UpGrad Education Private Limited)                        ,Mumbai," 25,000 /month",Internship
7627,Operations,                            Thomas Cook India Limited                        ,Mumbai," 3,000 /month",Internship
7628,Human Resources (HR),                            Justdial Limited                        ,Chennai," 7,000 /month",Internship
7629,Business Development (Sales),                            Taylor & Francis India                        ,Delhi," 12,000-18,000 /month",Internship
7630,Data Analytics,                            Taylor & Francis India                        ,Delhi," 12,000-18,000 /month",Internship
7631,Content Writing,                            Times Internet                        ,Work From Home," 9,000-10,000 /month",Internship
7632,Business Development (Trekking Sport),                            Decathlon Sports India                        ,Pune," 5,000 /month",Internship
7633,Sports Retail Management,                            Decathlon Sports India                        ,Siliguri," 9,000 /month",Internship with job offer
7634,Search Engine Optimization (SEO),                            MAYAPURI GROUP                        ,Delhi," 5,000 /month",Internship
7635,Marketing,                            BYJU'S The Learning App                        ,Chennai," 10,000 /month",Internship
7636,Human Resources (HR),                            American India Foundation Trust                        ,Gurgaon," 10,000 /month",Internship
7637,Business Development (Sales),                            BYJU'S The Learning App                        ,Coimbatore," 10,000 /month",Internship
7638,Policy Research,                            Federation of India Chambers of Commerce and Industries                        ,Chandigarh,Unpaid,Internship
7639,Graphic Design,                            Dr. A.P.J. Abdul Kalam Centre                        ,Noida," 8,000-10,000 /month",Internship
7640,Fundraising,                            Tare Zameen Foundation                        ,Work From Home," 1,000 /month +  Incentives",Internship
7641,Fundraising,                            Childo Education Research And Development Foundation                        ,Work From Home," 1,000 lump sum +  Incentives",Internship
7642,Fundraising,                            Youth Empowerment Foundation                        ,Work From Home,Unpaid,Internship
7643,Business Development (Sales),                            Externsclub                        ,Bangalore," 15,000-18,000 /month",Internship with job offer
7644,Campus Ambassador,                            ATBC Technologies                        ,Work From Home,Performance Based,Internship
7645,Search Engine Optimization (SEO),                            Sportskeeda                        ,Work From Home," 5,000-8,000 /month",Internship
7646,Social Media Marketing,                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
7647,Graphic Design,                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
7648,Influencer Marketing,                            LBB (Little Black Book)                        ,Delhi," 3,500-5,000 /month",Internship
7649,Business Development (Sales),                            Tommy Hilfiger                        ,Chennai," 22,000 /month",Internship with job offer
7650,Non Apparel Category,                            Nykaa Fashion                        ,Mumbai," 5,000 /month",Internship
7651,Customer Relations Management,                            Decathlon                        ,Lucknow," 12,000 /month",Internship
7652,Sports Retail/Logistics,                            Decathlon Sports India                        ,Thane," 12,000 /month",Internship
7653,CA - Industrial Trainee,                            Canara HSBC Life Insurance                        ,Gurgaon," 15,000 /month",Internship
7654,Media & Public Relations (PR),                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
7655,Business Development (Sales),                            Decathlon Sports India Private Limited                        ,Mumbai," 25,000 /month",Internship
7656,Business Development (Sales),                            Decathlon                        ,Mumbai," 25,000 /month",Internship
7657,Graphic Design,                            Times Internet                        ,Work From Home," 9,000-10,000 /month",Internship
7658,Project Planning (TribeVibe),                            BookMyShow                        ,Mumbai," 7,500 /month",Internship
7659,Market Research,                            Hindustan Unilever Limited                        ,Mumbai," 20,000 /month",Internship
7660,Marketing,                            Hector Beverages Private Limited                        ,Bangalore," 5,000 /month",Internship
7661,Marketing,                            Dabur India Limited                        ,Mumbai," 2,000-3,000 /week",Internship
7662,Human Resources (HR),                            Paisabazaar                        ,Gurgaon," 20,000-25,000 /month",Internship
7663,Marketing,                            Decathlon                        ,Chennai," 10,000 /month",Internship
7664,Digital Marketing,                            NoBroker Technologies Solutions Private Limited                        ,Bangalore," 10,000 /month",Internship
7665,Content Writing,                            Acko General Insurance                        ,Bangalore," 10,000 /month",Internship
7666,Digital Marketing,                            UpGrad (UpGrad Education Private Limited)                        ,Mumbai," 25,000 /month",Internship
7667,Operations,                            Thomas Cook India Limited                        ,Mumbai," 3,000 /month",Internship
7668,Human Resources (HR),                            Justdial Limited                        ,Chennai," 7,000 /month",Internship
7669,Business Development (Sales),                            Taylor & Francis India                        ,Delhi," 12,000-18,000 /month",Internship
7670,Data Analytics,                            Taylor & Francis India                        ,Delhi," 12,000-18,000 /month",Internship
7671,Content Writing,                            Times Internet                        ,Work From Home," 9,000-10,000 /month",Internship
7672,Business Development (Trekking Sport),                            Decathlon Sports India                        ,Pune," 5,000 /month",Internship
7673,Sports Retail Management,                            Decathlon Sports India                        ,Siliguri," 9,000 /month",Internship with job offer
7674,Search Engine Optimization (SEO),                            MAYAPURI GROUP                        ,Delhi," 5,000 /month",Internship
7675,Marketing,                            BYJU'S The Learning App                        ,Chennai," 10,000 /month",Internship
7676,Human Resources (HR),                            American India Foundation Trust                        ,Gurgaon," 10,000 /month",Internship
7677,Business Development (Sales),                            BYJU'S The Learning App                        ,Coimbatore," 10,000 /month",Internship
7678,Policy Research,                            Federation of India Chambers of Commerce and Industries                        ,Chandigarh,Unpaid,Internship
