,title,company_name,location,stipend,intern_type
2073,Sports Retail Management,                            Decathlon Sports India                        ,Siliguri," 9,000 /month",Internship with job offer
2074,Search Engine Optimization (SEO),                            MAYAPURI GROUP                        ,Delhi," 5,000 /month",Internship
2075,Marketing,                            BYJU'S The Learning App                        ,Chennai," 10,000 /month",Internship
2076,Human Resources (HR),                            American India Foundation Trust                        ,Gurgaon," 10,000 /month",Internship
2077,Business Development (Sales),                            BYJU'S The Learning App                        ,Coimbatore," 10,000 /month",Internship
2078,Policy Research,                            Federation of India Chambers of Commerce and Industries                        ,Chandigarh,Unpaid,Internship
2079,Graphic Design,                            Dr. A.P.J. Abdul Kalam Centre                        ,Noida," 8,000-10,000 /month",Internship
2080,Fundraising,                            Tare Zameen Foundation                        ,Work From Home," 1,000 /month +  Incentives",Internship
2081,Fundraising,                            Childo Education Research And Development Foundation                        ,Work From Home," 1,000 lump sum +  Incentives",Internship
2082,Fundraising,                            Youth Empowerment Foundation                        ,Work From Home,Unpaid,Internship
2083,Business Development (Sales),                            Externsclub                        ,Bangalore," 15,000-18,000 /month",Internship with job offer
2084,Campus Ambassador,                            ATBC Technologies                        ,Work From Home,Performance Based,Internship
2085,Search Engine Optimization (SEO),                            Sportskeeda                        ,Work From Home," 5,000-8,000 /month",Internship
2086,Social Media Marketing,                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
2087,Graphic Design,                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
2088,Influencer Marketing,                            LBB (Little Black Book)                        ,Delhi," 3,500-5,000 /month",Internship
2089,Business Development (Sales),                            Tommy Hilfiger                        ,Chennai," 22,000 /month",Internship with job offer
